person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,40,Автомобілі легкові,сім'я,,,,,Mitsubishi,Pajero 3000,,2007,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,40,Автомобілі легкові,сім'я,,,,,Mitsubishi,Pajero 3000,,2007,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Тихонов Віктор Миколайович,386,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8869/2013,4,Член сім'ї декларанта,декларант,,,,"дружина, Тихонова Л.О.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Тихонов Віктор Миколайович,386,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8869/2013,40,Автомобілі легкові,сім'я,,,,,Lexus,LX 470,"4660 куб.см, 202.4 кВт",2006,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Кальцев Сергій Федорович,159,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8904/2013,4,Член сім'ї декларанта,декларант,,,,"Дружина, Кальцева Л.І.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Кальцев Сергій Федорович,159,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8904/2013,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,S500 L4M,,2010,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Кальцев Сергій Федорович,159,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8904/2013,35,Автомобілі легкові,декларант,,,,,Lexus,LX 460L,,2007,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Кальцев Сергій Федорович,159,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8904/2013,40,Автомобілі легкові,сім'я,,,,,Mercedes-Benz,ML250,2.5 л,2013,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Ващук Катерина Тимофіївна,61,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/815/2013,4,Член сім'ї декларанта,декларант,,,,"чоловік, Ващук В.І.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Ващук Катерина Тимофіївна,61,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/815/2013,35,Автомобілі легкові,декларант,,,,,Toyota,Land Cruiser,"4890 куб.см, довжина 4950 см",2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Ващук Катерина Тимофіївна,61,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/815/2013,35,Автомобілі легкові,декларант,,,,,Volkswagen,,"3800 куб.см, довжина 4500 см",2003,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Ващук Катерина Тимофіївна,61,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/815/2013,40,Автомобілі легкові,сім'я,,,,,Mitsubishi,,"2400 куб.см, довжина 4540 см",2007,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Лабазюк Сергій Петрович,214,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15824/2013,4,Член сім'ї декларанта,декларант,,,,"дружина, Лабазюк В.О.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Лабазюк Сергій Петрович,214,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15824/2013,4,Член сім'ї декларанта,декларант,,,,"донька, Лабазюк Є.С.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Лабазюк Сергій Петрович,214,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15824/2013,35,Автомобілі легкові,декларант,,,,,Land Rover,Range Rover,4398 куб.см.,2011,,,,,,,,в оренді,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Лабазюк Сергій Петрович,214,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15824/2013,40,Автомобілі легкові,сім'я,,,,,BMW,X6,"2979 куб.см., 225 кВт",2012,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Герега Олександр Володимирович,72,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15827/2013,4,Член сім'ї декларанта,декларант,,,,"дружина, Герега Г.Ф.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Карташов Євген Григорович,164,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15759/2013,4,Член сім'ї декларанта,декларант,,,,"Дружина, Карташова Г.О.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Карташов Євген Григорович,164,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15759/2013,35,Автомобілі легкові,декларант,,,,,Audi,A6,"2976 куб.см, потужність 162,56 кВт",2006,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Карташов Євген Григорович,164,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15759/2013,40,Автомобілі легкові,сім'я,,,,,Toyota,Rav 4,"1987 куб.см., потужність 117,82 кВт",2009,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Бушко Іван Іванович,55,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15758/2013,4,Член сім'ї декларанта,декларант,,,,"дружина, Бушко С.Г.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Бушко Іван Іванович,55,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15758/2013,4,Член сім'ї декларанта,декларант,,,,"донька, Бушко В.І.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Бушко Іван Іванович,55,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15758/2013,4,Член сім'ї декларанта,декларант,,,,"син, Бушко М.І.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Бушко Іван Іванович,55,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15758/2013,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,E350 4Matic,3498 куб. См,2008,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Бушко Іван Іванович,55,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15758/2013,35,Автомобілі легкові,декларант,,,,,ЗАЗ,110557,1197 куб.см,2004,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Бушко Іван Іванович,55,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15758/2013,35,Автомобілі легкові,декларант,,,,,ЗАЗ,110557,1197 куб.см,2004,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
